oem,model,battery_charging,platform_cpu,platform_gpu,body_sim,network_technology,display_type,main_camera_video,selfie_camera_video,body_weight,display_resolution,display_size,sound_3.5mm_jack,platform_os,platform_chipset,memory,ram,removability,battery_capacity,misc_price
Xiaomi,Mi 8 SE,18,8,Adreno 616,Mini-SIM,LTE,Super AMOLED,2160p,1080p,164,1080 x 2244 ,5.88,No,Android,Qualcomm SDM710 Snapdragon 710,128,6,Non-removable,3120,260
Xiaomi,Redmi Note 5 AI Dual Camera,18,8,Adreno 509,Mini-SIM,LTE,IPS LCD,1080p,1080p,181,1080 x 2160 ,5.99,Yes,Android,Qualcomm SDM636 Snapdragon 636,64,4,Non-removable,4000,180
Xiaomi,Redmi Note 5 Pro,18,8,Adreno 509,Mini-SIM,LTE,IPS LCD,1080p,1080p,181,1080 x 2160 ,5.99,Yes,Android,Qualcomm SDM636 Snapdragon 636,64,4,Non-removable,4000,180
Xiaomi,Redmi Y1 (Note 5A),21.82167235,8,Adreno 505,Mini-SIM,LTE,IPS LCD,1080p,1080p,153,720 x 1280 ,5.5,Yes,Android,Qualcomm MSM8940 Snapdragon 435,64,4,Non-removable,3080,140
Xiaomi,Redmi Y1 Lite,21.82167235,4,Adreno 308,Mini-SIM,LTE,IPS LCD,1080p,,150,720 x 1280 ,5.5,Yes,Android,Qualcomm MSM8917 Snapdragon 425,16,2,Non-removable,3080,90
Xiaomi,Mi Note 3,18,8,Adreno 512,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,2160p,1080p,163,1080 x 1920 ,5.5,No,Android,Qualcomm SDM660 Snapdragon 660,64,6,Non-removable,3500,280
Xiaomi,Mi Max 2,18,8,Adreno 506,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,2160p,1080p,211,1080 x 1920 ,6.44,Yes,Android,Qualcomm MSM8953 Snapdragon 625,32,4,Non-removable,5300,200
Xiaomi,Redmi Note 4X,21.82167235,8,Adreno 506,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,165,1080 x 1920 ,5.5,Yes,Android,Qualcomm MSM8953 Snapdragon 625,64,4,Non-removable,4100,130
Xiaomi,Redmi Note 4,21.82167235,8,Adreno 506,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,165,1080 x 1920 ,5.5,Yes,Android,Qualcomm MSM8953 Snapdragon 625,64,4,Non-removable,4100,150
Xiaomi,Mi Mix,18,4,Adreno 530,No,LTE,IPS LCD,2160p,1080p,209,1080 x 2040 ,6.4,Yes,Android,Qualcomm MSM8996 Snapdragon 821,256,6,Non-removable,4400,390
Xiaomi,Mi Note 2,18,4,Adreno 530,"Dual SIM (Nano-SIM, dual stand-by)",LTE,AMOLED,2160p,1080p,166,1080 x 1920 ,5.7,Yes,Android,Qualcomm MSM8996 Snapdragon 821,64,6,Non-removable,4070,310
Xiaomi,Mi 5s Plus,18,4,Adreno 530,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,2160p,1080p,168,1080 x 1920 ,5.7,Yes,Android,Qualcomm MSM8996 Snapdragon 821,128,6,Non-removable,3800,310
Xiaomi,Redmi Note 4 (MediaTek),21.82167235,10,Mali-T880,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,720p,175,1080 x 1920 ,5.5,Yes,Android,Mediatek MT6797 Helio X20,16,2,Non-removable,4100,170
Xiaomi,Redmi Pro,21.82167235,10,Mali-T880,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,AMOLED,1080p,1080p,174,1080 x 1920 ,5.5,Yes,Android,Mediatek MT6797T Helio X25,128,4,Non-removable,4050,170
Xiaomi,Mi Max,21.82167235,6,Adreno 510,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,2160p,1080p,203,1080 x 1920 ,6.44,Yes,Android,Qualcomm MSM8956,16,2,Non-removable,4850,150
Xiaomi,Redmi Note Prime,10,4,Adreno 306,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,720p,185,720 x 1280 ,5.5,Yes,Android,Qualcomm MSM8916 Snapdragon 410,16,2,Removable,3100,140
Xiaomi,Mi Note Pro,18,8,Adreno 430,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,2160p,1080p,161,1440 x 2560 ,5.7,Yes,Android,Qualcomm MSM8994 Snapdragon 810,64,4,Non-removable,3000,250
Xiaomi,Mi Note,18,4,Adreno 330,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,2160p,1080p,161,1080 x 1920 ,5.7,Yes,Android,Qualcomm MSM8974AC Snapdragon 801,16,3,Non-removable,3000,190
Xiaomi,Redmi Note 4G,21.82167235,4,Adreno 305,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,720p,185,720 x 1280 ,5.5,Yes,Android,Qualcomm MSM8928 Snapdragon 400,8,2,Removable,3100,160
Xiaomi,Redmi Note,21.82167235,8,Mali-450,"Dual SIM (Nano-SIM, dual stand-by)",HSPA,IPS LCD,1080p,,199,720 x 1280 ,5.5,Yes,Android,Mediatek MT6592,8,1,Removable,3100,120
