oem,model,battery_charging,platform_cpu,platform_gpu,body_sim,network_technology,display_type,main_camera_video,selfie_camera_video,body_weight,display_resolution,display_size,sound_3.5mm_jack,platform_os,platform_chipset,memory,ram,removability,battery_capacity,misc_price
LG,K51S,21.82167235,8,PowerVR GE8320,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,194.5,720 x 1600 ,6.55,Yes,Android,Mediatek MT6765 Helio P35,64,3,Non-removable,4000,190.09
LG,K41S,21.82167235,8,PowerVR GE8320,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,191.7,720 x 1600 ,6.55,Yes,Android,Mediatek MT6762 Helio P22,32,3,Non-removable,4000,145
LG,V50S ThinQ 5G,21,8,Adreno 640,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",5G,OLED,4K,4K,192,1080 x 2340 ,6.4,Yes,Android,Qualcomm SM8150 Snapdragon 855,256,8,Non-removable,4000,1100
LG,G8X ThinQ,21,8,Adreno 640,Nano-SIM,LTE,OLED,4K,4K,192,1080 x 2340 ,6.4,Yes,Android,Qualcomm SM8150 Snapdragon 855,128,6,Non-removable,4000,578
LG,Q70,15,8,Adreno 612,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,198,1080 x 2310 ,6.4,Yes,Android,Qualcomm SDM675 Snapdragon 675,64,4,Non-removable,4000,320
LG,K30 (2019),21.82167235,4,Adreno 308,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,,148,720 x 1440 ,5.45,Yes,Android,Qualcomm MSM8917 Snapdragon 425,16,2,Non-removable,3000,140
LG,K20 (2019),21.82167235,4,PowerVR GE8100,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,,152,480 x 960 ,5.45,Yes,Android,Mediatek MT6739,16,1,Non-removable,3000,100
LG,K40S,21.82167235,8,PowerVR GE8320,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,186,720 x 1520 ,6.1,Yes,Android,Mediatek MT6762 Helio P22,32,2,Non-removable,3500,160
LG,K50S,21.82167235,8,PowerVR GE8320,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,194,720 x 1520 ,6.5,Yes,Android,Mediatek MT6762 Helio P22,32,3,Non-removable,4000,200
LG,W30 Pro,21.82167235,8,Adreno 506,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,172,720 x 1520 ,6.22,Yes,Android,Qualcomm SDM632 Snapdragon 632,64,4,Non-removable,4050,190
LG,W30,21.82167235,8,PowerVR GE8320,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,,175,720 x 1520 ,6.26,Yes,Android,Mediatek MT6762 Helio P22,32,3,Non-removable,4000,130
LG,W10,21.82167235,8,PowerVR GE8320,Nano-SIM,LTE,IPS LCD,1080p,1080p,164,720 x 1512 ,6.19,Yes,Android,Mediatek MT6762 Helio P22,32,3,Non-removable,4000,110
LG,Stylo 5,21.82167235,8,Adreno 506,No,LTE,IPS LCD,1080p,1080p,179,1080 x 2160 ,6.2,Yes,Android,Qualcomm SDM450 Snapdragon 450,32,3,Non-removable,3500,200
LG,G8S ThinQ,18,8,Adreno 640,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,G-OLED,4K,1080p,181,1080 x 2248 ,6.21,Yes,Android,Qualcomm SM8150 Snapdragon 855,64,6,Non-removable,3550,356.99
LG,Q8 (2018),18,8,Adreno 506,"Single SIM (Nano-SIM/eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,172,1080 x 2160 ,6.2,Yes,Android,Qualcomm SDM450 Snapdragon 450,64,4,Non-removable,3300,300
LG,X power 3,21.82167235,4,Adreno 308,"Single SIM (Nano-SIM/eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,,171,720 x 1280 ,5.5,Yes,Android,Qualcomm MSM8917 Snapdragon 425,16,2,Non-removable,4500,180
Motorola,One Fusion+,15,8,Adreno 618,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,210,1080 x 2340 ,6.5,Yes,Android,Qualcomm SDM730 Snapdragon 730,128,6,Non-removable,5000,300
Motorola,Moto G Fast,10,8,Adreno 610,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,189.4,720 x 1560 ,6.4,Yes,Android,Qualcomm SM6125 Snapdragon 665,32,3,Non-removable,4000,199.99
Motorola,Moto E (2020),21.82167235,8,Adreno 506,Nano-SIM,LTE,IPS LCD,1080p,1080p,185,720 x 1520 ,6.2,Yes,Android,Qualcomm SDM632 Snapdragon 632,32,2,Non-removable,3550,149.99
Motorola,Moto G Pro,15,8,Adreno 610,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,192,1080 x 2300 ,6.4,Yes,Android,Qualcomm SDM665 Snapdragon 665,128,4,Non-removable,4000,329.99
Motorola,Edge+,18,8,Adreno 650,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",5G,OLED,6K,1080p,203,1080 x 2340 ,6.7,Yes,Android,Qualcomm SM8250 Snapdragon 865,256,12,Non-removable,5000,1200
Motorola,Moto G8 Power Lite,10,8,PowerVR GE8320,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,200,720 x 1600 ,6.5,Yes,Android,Mediatek MT6765 Helio P35,64,4,Non-removable,5000,144
Motorola,Moto E6s (2020),21.82167235,8,PowerVR GE8320,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,160,720 x 1560 ,6.1,Yes,Android,Mediatek MT6762 Helio P22,32,2,Removable,3000,96.85
Motorola,Moto G8,10,8,Adreno 610,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,188.3,720 x 1560 ,6.4,Yes,Android,Qualcomm SM6125 Snapdragon 665,64,4,Non-removable,4000,169.99
Motorola,Moto G Stylus,10,8,Adreno 610,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,192,1080 x 2300 ,6.4,Yes,Android,Qualcomm SDM665 Snapdragon 665,128,4,Non-removable,4000,195
Motorola,Moto G Power,10,8,Adreno 610,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,199,1080 x 2300 ,6.4,Yes,Android,Qualcomm SDM665 Snapdragon 665,64,4,Non-removable,5000,249.99
Motorola,Moto G8 Power,18,8,Adreno 610,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,197,1080 x 2300 ,6.4,Yes,Android,Qualcomm SDM665 Snapdragon 665,64,4,Non-removable,5000,174.06
Motorola,One Hyper,45,8,Adreno 612,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,210,1080 x 2340 ,6.5,Yes,Android,Qualcomm SDM675 Snapdragon 675,128,4,Non-removable,4000,296.43
Motorola,Razr 2019,15,8,Adreno 616,Nano-SIM,LTE,Foldable P-OLED,4K,1080p,205,876 x 2142 ,6.2,No,Android,Qualcomm SDM710 Snapdragon 710,128,6,Non-removable,2510,42.99
Motorola,Moto G8 Play,21.82167235,8,Mali-G72,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,183.6,720 x 1520 ,6.2,Yes,Android,Mediatek MT6771 Helio P70M,32,2,Non-removable,4000,134.99
Motorola,Moto E6 Play,21.82167235,4,PowerVR GE8100,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,140,720 x 1440 ,5.5,Yes,Android,Mediatek MT6739,32,2,Non-removable,3000,93.99
Motorola,Moto G8 Plus,15,8,Adreno 610,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,LTPS IPS LCD,4K,1080p,188,1080 x 2280 ,6.3,Yes,Android,Qualcomm SDM665 Snapdragon 665,64,4,Non-removable,4000,199.9
Motorola,One Macro,10,8,Mali-G72,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,186,720 x 1520 ,6.2,Yes,Android,Mediatek MT6771 Helio P70,64,4,Non-removable,4000,139.99
Motorola,Moto E6 Plus,10,8,PowerVR GE8320,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,149.7,720 x 1560 ,6.1,Yes,Android,Mediatek MT6762 Helio P22,32,2,Removable,3000,108.96
Motorola,One Zoom,15,8,Adreno 612,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,Super AMOLED,4K,1080p,190,1080 x 2340 ,6.39,Yes,Android,Qualcomm SDM675 Snapdragon 675,128,4,Non-removable,4000,299.99
Motorola,One Action,10,8,Mali-G72,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,LTPS IPS LCD,4K,1080p,176,1080 x 2520 ,6.3,Yes,Android,Exynos 9609,128,4,Non-removable,3500,165
Motorola,Moto E6,21.82167235,8,Adreno 505,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,,159,720 x 1440 ,5.5,Yes,Android,Qualcomm SDM435 Snapdragon 435,16,2,Removable,3000,59.99
Motorola,Moto Z4,15,8,Adreno 612,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,OLED,4K,1080p,165,1080 x 2340 ,6.4,Yes,Android,Qualcomm SDM675 Snapdragon 675,128,4,Non-removable,3600,299.99
Motorola,One Vision,15,8,Mali-G72,No,LTE,LTPS IPS LCD,4K,1080p,180,1080 x 2520 ,6.3,Yes,Android,Exynos 9609,128,4,Non-removable,3500,195
Nokia,C5 Endi,10,8,PowerVR GE8320,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,200,720 x 1600 ,6.52,Yes,Android,Mediatek MT6762 Helio P22,64,3,Non-removable,4000,150
Nokia,C2 Tennen,10,4,PowerVR GE8320,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,720p,180,720 x 1440 ,5.45,Yes,Android,Mediatek MT6761 Helio A22,16,2,Non-removable,3000,60
Nokia,C2 Tava,10,4,PowerVR GE8320,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,720p,180,720 x 1440 ,5.45,Yes,Android,Mediatek MT6761 Helio A22,16,2,Non-removable,3000,100
Nokia,8.3 5G,18,8,Adreno 620,Nano-SIM,5G,IPS LCD,4K,1080p,220,1080 x 2400 ,6.81,Yes,Android,Qualcomm SDM765 Snapdragon 765G,64,6,Non-removable,4500,500
Nokia,5.3,10,8,Adreno 610,Nano-SIM,LTE,IPS LCD,1080p,1080p,185,720 x 1600 ,6.55,Yes,Android,Qualcomm SM6125 Snapdragon 665,64,3,Non-removable,4000,149.95
Nokia,1.3,21.82167235,4,Adreno 308,Nano-SIM,LTE,IPS LCD,720p,720p,155,720 x 1520 ,5.71,Yes,Android,Qualcomm QM215,16,1,Removable,3000,64.98
Nokia,2.3,21.82167235,4,PowerVR GE8320,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,,183,720 x 1520 ,6.2,Yes,Android,Mediatek MT6761 Helio A22,32,2,Non-removable,4000,99.57
Nokia,7.2,10,8,Adreno 512,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,180,1080 x 2280 ,6.3,Yes,Android,Qualcomm SDM660 Snapdragon 660,64,4,Non-removable,3500,198.31
Nokia,6.2,10,8,Adreno 509,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,180,1080 x 2280 ,6.3,Yes,Android,Qualcomm SDM636 Snapdragon 636,32,3,Non-removable,3500,166.11
Nokia,3.1 C,10,4,Adreno 504,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,720p,156,720 x 1440 ,5.45,Yes,Android,Qualcomm SDM429 Snapdragon 429,32,2,Non-removable,2990,126
Nokia,3.1 A,10,4,Adreno 504,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,720p,156,720 x 1440 ,5.45,Yes,Android,Qualcomm SDM429 Snapdragon 429,32,2,Non-removable,2990,81
Nokia,2.2,21.82167235,4,PowerVR GE8320,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,153,720 x 1520 ,5.71,Yes,Android,Mediatek MT6761 Helio A22,16,2,Removable,3000,69.99
Oppo,Reno4 Pro 5G,65,8,Adreno 620,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",5G,AMOLED,4K,1080p,172,1080 x 2400 ,6.55,No,Android,Qualcomm SDM765 Snapdragon 765G,128,8,Non-removable,4000,470
Oppo,Reno4 5G,65,8,Adreno 620,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",5G,AMOLED,4K,1080p,183,1080 x 2400 ,6.43,No,Android,Qualcomm SDM765 Snapdragon 765G,128,8,Non-removable,4000,370
Oppo,Find X2 Neo,30,8,Adreno 620,Mini-SIM,5G,AMOLED,4K,1080p,171,1080 x 2400 ,6.5,No,Android,Qualcomm SDM765 Snapdragon 765G,256,12,Non-removable,4025,587.4
Oppo,A92s,18,8,Mali-G57,MIni-SIM,5G,LTPS IPS LCD,4K,1080p,184,1080 x 2400 ,6.57,Yes,Android,MediaTek MT6873V Dimensity 800 5G,128,6,Non-removable,4000,290
Oppo,Find X2 Lite,30,8,Adreno 620,Mini-SIM,5G,AMOLED,4K,1080p,180,1080 x 2400 ,6.4,Yes,Android,Qualcomm SDM765 Snapdragon 765G,128,8,Non-removable,4025,399
Oppo,Ace2,65,8,Adreno 650,Mini-SIM,5G,AMOLED,4K,1080p,186,1080 x 2400 ,6.55,No,Android,Qualcomm SM8250 Snapdragon 865,128,8,Non-removable,4000,520
Oppo,A12e,21.82167235,8,Adreno 506,Mini-SIM,LTE,IPS LCD,1080p,1080p,168,720 x 1520 ,6.2,Yes,Android,Qualcomm SDM450 Snapdragon 450,64,3,Non-removable,4230,120
Oppo,Reno3,30,8,PowerVR GM9446,Mini-SIM,LTE,AMOLED,4K,1080p,170,1080 x 2400 ,6.4,Yes,Android,Mediatek MT6779 Helio P90,128,8,Non-removable,4025,324.38
Oppo,Find X2 Pro,65,8,Adreno 650,Mini-SIM,5G,AMOLED,4K,1080p,217,1440 x 3168 ,6.7,No,Android,Qualcomm SM8250 Snapdragon 865,256,12,Non-removable,4260,1010.71
Oppo,Find X2,65,8,Adreno 650,Mini-SIM,5G,AMOLED,4K,1080p,209,1440 x 3168 ,6.7,No,Android,Qualcomm SM8250 Snapdragon 865,128,8,Non-removable,4200,969.99
Oppo,Reno3 Pro,30,8,PowerVR GM9446,Micro-SIM,LTE,Super AMOLED,4K,1080p,175,1080 x 2400 ,6.4,Yes,Android,Mediatek Helio P95,128,8,Non-removable,4025,349.788
Oppo,F15,20,8,Mali-G72,Dual SIM,LTE,AMOLED,1080p,1080p,172,1080 x 2400 ,6.4,Yes,Android,Mediatek MT6771V Helio P70,128,8,Non-removable,4025,299.89
Oppo,Reno3 Pro 5G,30,8,Adreno 620,Dual SIM,5G,AMOLED,4K,1080p,171,1080 x 2400 ,6.5,No,Android,Qualcomm SDM765 Snapdragon 765G,128,8,Non-removable,4025,690
Oppo,Reno3 Youth,30,8,Adreno 620,Yes,5G,AMOLED,4K,1080p,180,1080 x 2400 ,6.4,Yes,Android,Qualcomm SDM765 Snapdragon 765G,128,8,Non-removable,4025,400
Oppo,Reno3 5G,30,8,Mali-G77,Dual SIM (Mini-SIM),5G,AMOLED,4K,1080p,181,1080 x 2400 ,6.4,Yes,Android,Mediatek MT6885Z Dimensity 1000L,128,8,Non-removable,4025,440
Oppo,A91,20,8,Mali-G72,"Dual SIM (Nano-SIM, dual stand-by)",LTE,AMOLED,1080p,1080p,172,1080 x 2400 ,6.4,Yes,Android,Mediatek MT6771V Helio P70,128,8,Non-removable,4025,269.98
Oppo,A8,21.82167235,8,PowerVR GE8320,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,180,720 x 1600 ,6.5,Yes,Android,Mediatek MT6765V/CB Helio P35,128,4,Non-removable,4230,150
Oppo,Reno Ace,65,8,Adreno 640,"Dual SIM (Nano-SIM, dual stand-by)",LTE,AMOLED,4K,1080p,200,1080 x 2400 ,6.5,Yes,Android,Qualcomm SM8150 Snapdragon 855+,128,8,Non-removable,4000,607.77
Oppo,Reno A,21.82167235,8,Adreno 616,"Dual SIM (Nano-SIM, dual stand-by)",LTE,AMOLED,4K,1080p,169.5,1080 x 2340 ,6.4,Yes,Android,Qualcomm SDM710 Snapdragon 710,128,6,Non-removable,3600,280
Oppo,A5 (2020),21.82167235,8,Adreno 610,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,195,720 x 1600 ,6.5,Yes,Android,Qualcomm SDM665 Snapdragon 665,64,3,Non-removable,5000,148.96
Oppo,A9 (2020),10,8,Adreno 610,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,195,720 x 1600 ,6.5,Yes,Android,Qualcomm SDM665 Snapdragon 665,128,4,Non-removable,5000,179.99
Oppo,Reno2,20,8,Adreno 618,"Dual SIM (Nano-SIM, dual stand-by)",LTE,AMOLED,4K,1080p,189,1080 x 2400 ,6.5,Yes,Android,Qualcomm SDM730 Snapdragon 730G,128,8,Non-removable,4000,399.99
Oppo,Reno2 F,20,8,Mali-G72,"Dual SIM (Nano-SIM, dual stand-by)",LTE,AMOLED,1080p,1080p,195,1080 x 2340 ,6.5,Yes,Android,Mediatek MT6771V Helio P70,128,8,Non-removable,4000,374.9
Oppo,Reno2 Z,20,8,PowerVR GM9446,"Dual SIM (Nano-SIM, dual stand-by)",LTE,AMOLED,4K,1080p,195,1080 x 2340 ,6.53,Yes,Android,Mediatek MT6779 Helio P90,128,8,Non-removable,4000,269
Oppo,Reno Z,20,8,PowerVR GM9446,"Dual SIM (Nano-SIM, dual stand-by)",LTE,AMOLED,4K,1080p,186,1080 x 2340 ,6.4,Yes,Android,Mediatek MT6779 Helio P90,128,4,Non-removable,4035,330
Oppo,A9x,20,8,Mali-G72,"Dual SIM (Nano-SIM, dual stand-by)",LTE,LTPS IPS LCD,1080p,1080p,190,1080 x 2340 ,6.53,Yes,Android,Mediatek MT6771V Helio P70,128,6,Non-removable,4020,260
Oppo,Reno 5G,20,8,Adreno 640,"Dual SIM (Nano-SIM, dual stand-by)",5G,AMOLED,4K,1080p,215,1080 x 2340 ,6.6,No,Android,Qualcomm SM8150 Snapdragon 855,256,8,Non-removable,4065,880
Oppo,A1k,21.82167235,8,PowerVR GE8320,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,720p,170,720 x 1560 ,6.1,Yes,Android,Mediatek MT6762 Helio P22,32,2,Non-removable,4000,100
Oppo,A5 (AX5),21.82167235,8,Adreno 506,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,168,720 x 1520 ,6.2,Yes,Android,Qualcomm SDM450 Snapdragon 450,32,3,Non-removable,4230,230
Realme,X3 SuperZoom,30,8,Adreno 640,Mini-SIM,LTE,IPS LCD,4K,1080p,202,1080 x 2400 ,6.6,No,Android,Qualcomm SM8150 Snapdragon 855+,128,8,Non-removable,4200,499
Realme,6S,30,8,Mali-G76,Mini-SIM,LTE,IPS LCD,4K,1080p,191,1080 x 2400 ,6.5,Yes,Android,Mediatek MT6785 Helio G90T,64,4,Non-removable,4300,200
Realme,X50 Pro Player,65,8,Adreno 650,Mini-SIM,5G,Super AMOLED,4K,1080p,209,1080 x 2400 ,6.44,No,Android,Qualcomm SM8250 Snapdragon 865,128,6,Non-removable,4200,464.99
Realme,Narzo 10,18,8,Mali-G52,Mini-SIM,LTE,IPS LCD,1080p,1080p,199,720 x 1600 ,6.5,Yes,Android,Mediatek Helio G80,128,4,Non-removable,5000,150
Realme,Narzo 10A,10,8,Mali-G52,Mini-SIM,LTE,IPS LCD,1080p,1080p,195,720 x 1600 ,6.5,Yes,Android,Mediatek Helio G70,32,3,Non-removable,5000,100
Realme,X50m 5G,30,8,Adreno 620,Mini-SIM,5G,IPS LCD,4K,1080p,194,1080 x 2400 ,6.57,No,Android,Qualcomm SDM765 Snapdragon 765G,128,6,Non-removable,4200,276.11
Realme,6i,18,8,Mali-G52,Mini-SIM,LTE,IPS LCD,1080p,1080p,199,720 x 1600 ,6.5,Yes,Android,Mediatek Helio G80,64,3,Non-removable,5000,164.14
Realme,6 Pro,30,8,Adreno 618,Mini-SIM,LTE,IPS LCD,4K,1080p,202,1080 x 2400 ,6.6,Yes,Android,Qualcomm SM7125 Snapdragon 720G,64,6,Non-removable,4300,249
Realme,X50 Pro 5G,65,8,Adreno 650,Mini-SIM,5G,Super AMOLED,4K,1080p,205,1080 x 2400 ,6.44,No,Android,Qualcomm SM8250 Snapdragon 865,128,6,Non-removable,4200,435.99
Realme,C3 (3 cameras),10,8,Mali-G52,Mini-SIM,LTE,IPS LCD,1080p,1080p,195,720 x 1600 ,6.5,Yes,Android,Mediatek Helio G70,32,2,Non-removable,5000,124.94
Realme,X50 5G,30,8,Adreno 620,Mini-SIM,5G,IPS LCD,4K,1080p,202,1080 x 2400 ,6.57,No,Android,Qualcomm SDM765 Snapdragon 765G,64,6,Non-removable,4200,239.99
Realme,5i,10,8,Adreno 610,Mini-SIM,LTE,IPS LCD,4K,1080p,195,720 x 1600 ,6.52,Yes,Android,Qualcomm SDM665 Snapdragon 665,32,3,Non-removable,5000,139.99
Realme,5s,10,8,Adreno 610,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,198,720 x 1600 ,6.5,Yes,Android,Qualcomm SDM665 Snapdragon 665,64,4,Non-removable,5000,169
Realme,C2s,21.82167235,8,PowerVR GE8320,"Dual SIM (Micro-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,166,720 x 1560 ,6.1,Yes,Android,Mediatek MT6762 Helio P22,32,3,Non-removable,4000,40
Realme,C2 2020,21.82167235,8,PowerVR GE8320,Yes,LTE,IPS LCD,1080p,1080p,166,720 x 1560 ,6.1,Yes,Android,Mediatek MT6762 Helio P22,32,2,Non-removable,4000,100
Realme,X2 Pro,50,8,Adreno 640,No,LTE,Super AMOLED,4K,1080p,199,1080 x 2400 ,6.5,Yes,Android,Qualcomm SM8150 Snapdragon 855+,64,6,Non-removable,4000,429.9
Realme,XT,20,8,Adreno 616,"Dual SIM (Nano-SIM, dual stand-by)",LTE,Super AMOLED,4K,1080p,183,1080 x 2340 ,6.4,Yes,Android,Qualcomm SDM712 Snapdragon 712,64,4,Non-removable,4000,204.9
Realme,5 Pro,20,8,Adreno 616,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,4K,1080p,184,1080 x 2340 ,6.3,Yes,Android,Qualcomm SDM712 Snapdragon 712,64,4,Non-removable,4035,188.1
Realme,3i,21.82167235,8,Mali-G72,"Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,175,720 x 1520 ,6.2,Yes,Android,Mediatek MT6771 Helio P60,32,3,Non-removable,4230,96
Realme,3 Pro,20,8,Adreno 616,Nano-SIM,LTE,IPS LCD,4K,1080p,172,1080 x 2340 ,6.3,Yes,Android,Qualcomm SDM710 Snapdragon 710,64,4,Non-removable,4045,168.9
Sony,Xperia 1 II,21,8,Adreno 650,Nano-SIM,5G,OLED,4K,1080p,181.4,1644 x 3840 ,6.5,Yes,Android,Qualcomm SM8250 Snapdragon 865,256,8,Non-removable,4000,1099
Sony,Xperia 10 II,18,8,Adreno 610,Nano-SIM,LTE,OLED,4K,1080p,151,1080 x 2520 ,6,Yes,Android,Qualcomm SDM665 Snapdragon 665,128,4,Non-removable,3600,319
Sony,Xperia 5,18,8,Adreno 640,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,OLED,4K,1080p,164,1080 x 2520 ,6.1,No,Android,Qualcomm SM8150 Snapdragon 855,128,6,Non-removable,3140,461.99
vivo,V19 Neo,18,8,Adreno 612,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,Super AMOLED,4K,1080p,176,1080 x 2400 ,6.44,Yes,Android,Qualcomm SDM675 Snapdragon 675,128,8,Non-removable,4500,320
vivo,Z5x (2020),18,8,Adreno 616,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,204.1,1080 x 2340 ,6.53,Yes,Android,Qualcomm SDM712 Snapdragon 712,64,4,Non-removable,5000,160
vivo,X50 Pro+,44,8,Adreno 650,"Hybrid Dual SIM (Nano-SIM, dual stand-by)",5G,AMOLED,4K,1080p,181.5,1080 x 2376 ,6.56,No,Android,Qualcomm SM8250 Snapdragon 865,128,8,Non-removable,4315,630
vivo,X50 Pro,33,8,Adreno 620,Micro-SIM,5G,AMOLED,4K,1080p,181.5,1080 x 2376 ,6.56,No,Android,Qualcomm SDM765 Snapdragon 765G,128,8,Non-removable,4315,641.85
vivo,Y70s,18,8,Mali-G76,Nano-SIM,5G,IPS LCD,4K,1080p,190,1080 x 2340 ,6.53,Yes,Android,Exynos 880,128,8,Non-removable,4500,289.98
vivo,iQOO Z1,44,8,Mali-G77,Nano-SIM,5G,IPS LCD,4K,1080p,195,1080 x 2408 ,6.57,Yes,Android,Mediatek Dimensity 1000+,128,6,Non-removable,4500,344.98
vivo,X50 Lite,18,8,Adreno 610,"Dual SIM (Nano-SIM, dual stand-by)",LTE,AMOLED,1080p,1080p,190.2,1080 x 2340 ,6.38,Yes,Android,Qualcomm SDM665 Snapdragon 665,128,8,Non-removable,4500,300
vivo,Y30,10,8,PowerVR GE8320,Nano-SIM,LTE,IPS LCD,1080p,1080p,197,720 x 1560 ,6.47,Yes,Android,Mediatek MT6765 Helio P35,128,4,Non-removable,5000,190
vivo,iQOO Neo3 5G,44,8,Adreno 650,Pre-installed Nano-SIM,5G,IPS LCD,4K,1080p,198.1,1080 x 2408 ,6.57,Yes,Android,Qualcomm SM8250 Snapdragon 865,128,6,Non-removable,4500,350
vivo,Y50,15,8,Adreno 610,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",LTE,IPS LCD,1080p,1080p,197,1080 x 2400 ,6.53,Yes,Android,Qualcomm SM6125 Snapdragon 665,128,8,Non-removable,5000,215.88
vivo,V19,33,8,Adreno 616,"Dual SIM (Nano-SIM, dual stand-by)",LTE,Super AMOLED,4K,1080p,186.5,1080 x 2400 ,6.44,Yes,Android,Qualcomm SDM712 Snapdragon 712,128,8,Non-removable,4500,335.88
vivo,S6 5G,18,8,Mali-G76,"Dual SIM (Nano-SIM, dual stand-by)",5G,AMOLED,4K,1080p,181,1080 x 2400 ,6.44,Yes,Android,Exynos 980,128,8,Non-removable,4500,297
vivo,NEX 3S 5G,44,8,Adreno 650,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",5G,Super AMOLED,4K,1080p,219.5,1080 x 2256 ,6.89,Yes,Android,Qualcomm SM8250 Snapdragon 865,256,8,Non-removable,4500,630
