oem,model,battery_charging,platform_cpu,platform_gpu,body_sim,network_technology,display_type,main_camera_video,selfie_camera_video,body_weight,display_resolution,display_size,sound_3.5mm_jack,platform_os,platform_chipset,misc_price,memory,ram,removability,battery_capacity
Nokia,7.2,10,8,Adreno 512,Single-Sim,LTE,IPS LCD,4K,1080p,180,1080 x 2280 ,6.3,Yes,Android,Qualcomm SDM660 Snapdragon 660,198.31,64,4,Non-removable,3500
Nokia,6.2,10,8,Adreno 509,Single-Sim,LTE,IPS LCD,4K,1080p,180,1080 x 2280 ,6.3,Yes,Android,Qualcomm SDM636 Snapdragon 636,166.11,32,3,Non-removable,3500
Nokia,3.1 C,10,4,Adreno 504,Nano-Sim,LTE,IPS LCD,1080p,720p,156,720 x 1440 ,5.45,Yes,Android,Qualcomm SDM429 Snapdragon 429,126,32,2,Non-removable,2990
Nokia,3.1 A,10,4,Adreno 504,Nano-Sim,LTE,IPS LCD,1080p,720p,156,720 x 1440 ,5.45,Yes,Android,Qualcomm SDM429 Snapdragon 429,81,32,2,Non-removable,2990
Nokia,2.2,,4,PowerVR GE8320,Single-Sim,LTE,IPS LCD,1080p,1080p,153,720 x 1520 ,5.71,Yes,Android,Mediatek MT6761 Helio A22,69.99,16,2,Removable,3000
Oppo,Reno4 Pro 5G,65,8,Adreno 620,Dual-Sim,5G,AMOLED,4K,1080p,172,1080 x 2400 ,6.55,No,Android,Qualcomm SDM765 Snapdragon 765G,470,128,8,Non-removable,4000
Oppo,Reno4 5G,65,8,Adreno 620,Dual-Sim,5G,AMOLED,4K,1080p,183,1080 x 2400 ,6.43,No,Android,Qualcomm SDM765 Snapdragon 765G,370,128,8,Non-removable,4000
Oppo,Find X2 Neo,30,8,Adreno 620,Nano-Sim,5G,AMOLED,4K,1080p,171,1080 x 2400 ,6.5,No,Android,Qualcomm SDM765 Snapdragon 765G,587.4,256,12,Non-removable,4025
Oppo,A92s,18,8,Mali-G57,Dual-Sim,5G,LTPS IPS LCD,4K,1080p,184,1080 x 2400 ,6.57,Yes,Android,MediaTek MT6873V Dimensity 800 5G,290,128,6,Non-removable,4000
Oppo,Find X2 Lite,30,8,Adreno 620,Dual-Sim,5G,AMOLED,4K,1080p,180,1080 x 2400 ,6.4,Yes,Android,Qualcomm SDM765 Snapdragon 765G,399,128,8,Non-removable,4025
Oppo,Ace2,65,8,Adreno 650,Dual-Sim,5G,AMOLED,4K,1080p,186,1080 x 2400 ,6.55,No,Android,Qualcomm SM8250 Snapdragon 865,520,128,8,Non-removable,4000
Oppo,A12e,,8,Adreno 506,Dual-Sim,LTE,IPS LCD,1080p,1080p,168,720 x 1520 ,6.2,Yes,Android,Qualcomm SDM450 Snapdragon 450,120,64,3,Non-removable,4230
Oppo,Reno3,30,8,PowerVR GM9446,Dual-Sim,LTE,AMOLED,4K,1080p,170,1080 x 2400 ,6.4,Yes,Android,Mediatek MT6779 Helio P90,324.38,128,8,Non-removable,4025
